"upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal"
7199091400,"COORS EXTRA GOLD BEE",0.5254631,58252.6291513443,29147.6492300034,20679683.8496094,"Oz","COORS",0,0
7204000002,"STROHS LIGHT BEER",0.50706637,77596.1967725754,39239.3199625015,27546650.5185547,"Oz","STROH'S",0,1
7204000006,"STROHS BEER N.R.BTLS",0.5900777,15610.8090929985,9194.9799669981,5541837.20031738,"Oz","STROH'S",0,1
7204000007,"STROHS BEER",0.54606164,1271.5771613121,684.110016345978,451409.890869141,"Oz","STROH'S",0,1
7204000009,"STROHS BEER",0.50766581,149734.209251881,75763.2499411106,53155645.3779297,"Oz","STROH'S",0,1
7204001110,"STROH'S BEER",0.40215671,45440.888941288,18240.0396966934,16131515.7126465,"Oz","STROH'S",0,1
7204001111,"STROHS BEER",0.036820572,4198.60414123535,151.819998264313,1490504.42578125,"Oz","STROH'S",0,1
7204001112,"STROH'S LIGHT",0.40113282,15522.8381004333,6216.99993896484,5510607.54394531,"Oz","STROH'S",0,1
7204001113,"STROHS BEER",0.038506575,16015125.3133697,596762.167460442,5685369438.79297,"Oz","STROH'S",0,1
7204001122,"STROHS REG LONGNECK",0.50753492,146081.424046993,72942.6196069717,51858906.5351562,"Oz","STROH'S",0,1
7204001123,"STROHS LIGHT LONGNEC",0.50123143,50503.2058596611,25013.5598108768,17928638.5712891,"Oz","STROH'S",0,1
7204001151,"STROHS BEER N.R.BTLS",0.66638225,2155.28326225281,1437.98002147675,765125.569824219,"Oz","STROH'S",0,1
7204004441,"STROHS LIGHT BEER",0.038316436,5548.15545654297,208.329998016357,1969595.1328125,"Oz","STROH'S",0,1
7204004443,"STROHS LIGHT BEER",0.038397342,8135695.10897827,303376.756008625,2888171720.36719,"Oz","STROH'S",0,1
7204004456,"STROHS NONALCOHOLIC",0.6298216,37997.3647146225,23816.3787374496,13489064.78125,"Oz","STROH'S",0,1
7204031232,"STROH'S",0.36081582,560423.66268158,196973.79229641,198950396.989258,"Oz","STROH'S",0,1
7204031310,"STROHS BEER",0.40933552,651719.290216446,258705.504566193,231360351.367188,"Oz","STROH'S",0,1
7204031313,"STROH'S DRAFT LIGHT",0.37687528,239.920227050781,90.4200029373169,85171.6796875,"Oz","STROH'S",0,1
7204031373,"STROH'S",0.37741673,8097.30770111084,3036.28010463715,2874544.16699219,"Oz","STROH'S",0,1
7204031374,"STROHS LIGHT BEER",0.36441252,10106.6396255493,3662.58006954193,3587856.98046875,"Oz","STROH'S",0,1
7204061321,"STROHS LIGHT BEER",0.40426067,274204.8191185,108324.976836204,97342712.9140625,"Oz","STROH'S",0,1
7204061328,"STROHS LIGHT BEER",0.35926732,263372.430351257,92530.9409780502,93497210.9873047,"Oz","STROH'S",0,1
7231111201,"WHITBREAD ALE NR BTL",1.2479148,47.9840440750122,59.879997253418,17034.3354492188,"Oz","WHITBREAD",1,0
7231113001,"PILSNER URQUELL NR B",1.2075889,461.846415996552,561.629989624023,163955.483398438,"Oz","PILSNER URQUELL",1,0
7231113003,"FOSTER'S LAGER",1.1015949,43987.4586319923,45961.0007528067,15615547.9763184,"Oz","FOSTER'S LAGER",1,0
7231133140,"DOS EQUIS AMBER LNNR",1.0493239,1415.52927494049,1459.81996917725,502512.91015625,"Oz","DOS EQUIS",1,0
7231163001,"PILSNER URQUELL NR B",1.2415425,36089.9989418984,44259.449256897,12811949.9257812,"Oz","PILSNER URQUELL",1,0
7231163006,"FOSTERS LAGER 6PK NR",1.0453475,287.904259681702,301.119976520538,102206.015625,"Oz","FOSTER'S LAGER",1,0
7231163009,"MOOSEHEAD BEER NR BT",0.85786837,460676.815800667,369261.802973747,163540271.826172,"Oz","MOOSEHEAD",1,0
7231163011,"DOS EQUIS BEER",0.96615708,143532.271429539,134352.477291107,50953957.4355469,"Oz","DOS EQUIS",1,0
7231163012,"DOS EQUIS BEER",0.98951334,16770.4232740402,16194.6395974159,5953500.41015625,"Oz","DOS EQUIS",1,0
7231163018,"MACKESON STOUT NR BT",1.2479148,55.9813847541809,69.8599967956543,19873.3913574219,"Oz","MACKESON",1,0
